number,contract_name,name,address,position,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update
55,toulouse,00055 - SAINT-SERNIN - G. ARNOULT,2 RUE GATIEN ARNOULT,"{'lat': 43.609022, 'lng': 1.441105}",True,False,15,1,14,OPEN,1715446667000
59,ljubljana,LIDL BEŽIGRAD,Bežigrad 11,"{'lat': 46.063797, 'lng': 14.506854}",False,False,20,16,4,OPEN,1715446533000
2010,lyon,2010 - CONFLUENCE / DARSE,ANGLE ALLEE ANDRE MURE ET QUAI ANTOINE RIBOUD,"{'lat': 45.743317, 'lng': 4.815747}",True,False,22,17,5,OPEN,1715446596000
5015,lyon,5015 - FULCHIRON,Devant le n°41 rue de la Quarantaine,"{'lat': 45.75197, 'lng': 4.821662}",True,False,19,15,3,OPEN,1715446679000
42,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",False,False,30,21,9,OPEN,1715446541000
10,nantes,010- PICASSO,"12, mail Pablo Picasso","{'lat': 47.216207, 'lng': -1.533796}",False,False,40,15,25,OPEN,1715446355000
231,bruxelles,231 - KERSBEEK,KERSBEEK - AV KERSBEEK 107 / KERSBEEKLAAN 107,"{'lat': 50.805801, 'lng': 4.3194}",False,False,19,8,11,OPEN,1715446201000
32001,lyon,32001 - COUZON - CENTRE,,"{'lat': 45.846034, 'lng': 4.832409}",True,False,17,4,13,OPEN,1715446587000
198,valence,198_CALLE_FONTANARS_DELS_AFORINS,Fontanars dels Aforins - Vall d'Uixó,"{'lat': 39.4608480566945, 'lng': -0.3954071515343}",True,False,20,4,16,OPEN,1715446702000
30,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.3537415547453, 'lng': -6.26530144781526}",False,False,20,12,8,OPEN,1715446262000
6004,lyon,6004 - FOCH,Angle rue Vendôme,"{'lat': 45.768896, 'lng': 4.844845}",True,False,20,1,19,OPEN,1715446698000
50019,cergy-pontoise,50019 - CER19 - RUE DES LILAS,RUE DES LILAS ANGLE BOULEVARD DU PORT 95000 CERGY,"{'lat': 49.034625, 'lng': 2.067596}",False,False,16,10,6,OPEN,1715446376000
30,nancy,00030 - NATIONS,au milieu du boulevard des Nations  à Vandoeuvre dans le prolongement de l’arrêt de bus Nations devant le centre commercial,"{'lat': 48.662356, 'lng': 6.173442}",False,False,15,12,3,OPEN,1715446251000
54901,cergy-pontoise,54901 - VAU01 - PLACE DU RDV (CB),Place du Rendez-Vous côté avenue Louis Lecoin - 95490 VAUREAL,"{'lat': 49.0329335916808, 'lng': 2.02031242929915}",False,False,15,14,1,OPEN,1715446271000
7035,lyon,7035 - MARSEILLE / UNIVERSITÉ,Angle rue de Marseille,"{'lat': 45.750945, 'lng': 4.83927}",True,False,40,31,9,OPEN,1715446672000
3,valence,003_PLAZA_MUSICO_LOPEZ_CHAVARRI,Plaza del Musico López Chavarri,"{'lat': 39.4768031153802, 'lng': -0.38037911504075}",True,False,20,14,6,OPEN,1715446639000
54,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",False,False,33,31,2,OPEN,1715446662000
53,luxembourg,#00053-LUDWIG VAN BEETHOVEN,- LUDWIG VAN BEETHOVEN - RUE LUDWIG VAN BEETHOVEN ( DEVANT N° 45 ),"{'lat': 49.59, 'lng': 6.1172}",False,False,20,18,0,OPEN,1715446547000
10120,lyon,10120 - SALENGRO / DESCARTES,41 AV. ROGER SALENGRO (VILLEURBANNE),"{'lat': 45.776239, 'lng': 4.871634}",True,False,15,13,2,OPEN,1715446535000
5016,lyon,5016 - POINT DU JOUR / GRANGES,Devant la mairie du 5°,"{'lat': 45.756204, 'lng': 4.802727}",False,True,13,13,0,OPEN,1715446684000
56105,cergy-pontoise,56105 - ERA05- BAS NOYER (CB),RUE DU BAS NOYER DEVANT CENTRE COMMERCIAL ART DE VIVRE - ERAGNY,"{'lat': 49.03223, 'lng': 2.101656}",False,False,18,11,7,OPEN,1715446598000
195,toulouse,00195 - LARROUSSE - RIEUX,FACE 15 RUE PIERRE LAROUSSE,"{'lat': 43.597355, 'lng': 1.459063}",True,False,18,15,3,OPEN,1715446488000
108,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",False,False,35,20,15,OPEN,1715446647000
29,toulouse,00029 - VALADE,31 RUE VALADE,"{'lat': 43.605031, 'lng': 1.437386}",True,False,21,14,7,OPEN,1715446636000
233,valence,233_SAN_JUAN_BOSCO_SANTIAGO_RUSIÑOL,San Juan Bosco - Santiago Rusiñol,"{'lat': 39.497128187401, 'lng': -0.369528093405798}",True,False,15,10,4,OPEN,1715446472000
134,luxembourg,#00134-STADE HENRI-DUNANT,Rue Henri Dunant x Rue de Bastogne,"{'lat': 49.646906, 'lng': 6.134279}",False,False,20,9,8,OPEN,1715446673000
194,seville,194_CALLE PARQUE DE DOÑANA,CALLE PARQUE DE DOÑANA - Aprox. Calle Corral de los Olmos,"{'lat': 37.418586, 'lng': -5.973249}",False,False,20,7,13,OPEN,1715446578000
9013,lyon,9013 - QUAI PAUL SÉDALLIAN,Angle rue de la Navigation,"{'lat': 45.787522, 'lng': 4.814418}",False,False,20,17,3,OPEN,1715446198000
126,seville,126_AVENIDA REINA MERCEDES,AVENIDA REINA MERCEDES - Aprox. Facultad de Informática,"{'lat': 37.358414, 'lng': -5.986423}",False,False,25,25,0,OPEN,1715446252000
280,toulouse,00280 - CHARBONNIERE,RUE DE LA CHARBONNIERE ENTRE IMP AMPERE ET RUE DES PALMIERS,"{'lat': 43.573732, 'lng': 1.448768}",True,False,18,14,4,OPEN,1715430406000
